0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.6349,181.72984,874.7364,269.12238,1030.6849,293.4159,857.6858,403.4701,1053.6849,452.94434,900.3976,489.22623,1080.0605,565.628,821.41516,512.7665,929.4967,523.26996,841.49194,724.68146,969.84216,752.4318,825.06964,916.6353,950.59406,963.0597
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.6991,172.03189,867.52405,264.92075,1025.1648,286.81467,851.8548,406.835,1053.3298,446.44263,891.0257,502.51953,1081.2649,557.57764,825.60046,513.1669,934.6958,522.9568,841.9952,725.794,968.872,752.31464,825.5303,918.6599,949.5753,962.77576
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.64453,164.46185,863.81616,259.2313,1019.3603,279.70447,859.8023,406.73752,1050.1608,440.2232,915.62866,504.59756,1083.0283,552.2981,827.13104,510.31604,935.84326,520.2376,842.9933,721.22943,971.368,748.8397,826.10236,917.8839,951.1027,963.7555
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.4567,158.92332,860.84827,255.11613,1015.1075,275.03015,859.81683,404.24518,1048.6423,436.59933,913.6711,498.16144,1082.0684,545.04877,828.82385,510.383,936.69714,520.10077,843.6429,720.8973,971.753,747.7533,826.3726,918.1487,950.60254,962.4165
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.513,154.49982,857.64386,250.16505,1009.474,268.5432,840.686,390.89145,1041.1809,429.20032,874.4394,458.53748,1078.9471,535.77136,835.4749,508.42566,939.4693,516.9988,845.677,716.54785,969.5526,740.40857,829.4213,913.98175,946.27405,955.4623
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.733,150.0282,855.8251,248.62294,1007.51465,267.3543,834.68005,393.6947,1042.1971,426.37537,855.4442,476.80353,1079.4357,534.57697,838.312,507.64243,941.7131,516.73315,848.179,714.8438,972.5563,740.50604,829.67377,913.0289,947.008,955.37915
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.98285,146.437,849.91736,248.68675,1002.62823,264.35544,836.2564,383.87283,1038.8014,421.62708,864.7183,439.3811,1076.9032,528.6557,840.28,507.59207,944.177,515.18463,847.3691,714.0418,970.2745,736.67053,831.00793,911.7984,945.1956,952.19794
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.8607,143.35336,846.25586,249.31984,993.9124,261.521,834.1132,390.01776,1036.1638,412.3645,858.09393,463.461,1075.7739,523.82605,846.7857,505.15076,947.1326,511.85065,846.2809,715.4643,968.5069,737.4419,830.1066,914.2127,944.2806,951.1526
991.40283,139.02667,0.0,0.0,987.90765,120.968216,0.0,0.0,972.9476,138.79523,842.53674,249.84494,988.3224,257.16953,831.709,396.82278,1033.4745,406.43307,857.31244,475.3286,1076.7723,523.6418,851.06964,505.89066,950.2848,510.93787,845.63104,717.4486,968.1347,736.617,831.958,917.4172,944.1656,949.51465
987.11066,136.49075,0.0,0.0,982.4826,118.750626,0.0,0.0,964.372,136.95177,840.224,249.36516,982.3773,254.46196,830.1598,395.66794,1030.3591,400.30045,859.29425,471.1542,1075.756,520.0748,855.158,505.8578,951.5687,510.14658,844.7602,717.8597,966.0462,735.754,831.3043,918.9342,943.20447,949.1052
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.7952,136.36523,840.0716,249.35263,988.5932,252.95871,828.9602,397.42374,1031.2368,400.63202,852.0381,475.1298,1074.836,519.15326,856.54364,510.34726,958.0761,513.8289,847.82544,719.66565,963.8658,736.6669,837.61053,919.0228,939.70447,951.2732
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.4573,138.48637,840.03577,250.02692,988.42865,254.70964,827.4785,397.4675,1030.2449,401.70062,849.2734,477.75668,1075.2656,518.9006,857.9303,511.123,959.3681,515.12366,846.984,719.3657,963.09595,737.4575,838.64874,919.03314,940.6436,952.2755
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.44507,136.28989,841.6181,248.89894,987.2175,253.71004,829.5365,395.15472,1029.2158,403.77988,843.8348,469.9258,1073.6023,523.1375,860.13354,511.39032,959.78595,515.36646,847.1646,719.6854,963.3384,737.8898,840.2328,919.21014,940.52106,952.57104
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.00586,137.24574,841.58374,249.90039,985.54254,254.72186,829.55646,394.57108,1026.9353,405.19446,842.15186,467.80136,1070.8601,526.4887,860.8894,511.33566,959.577,515.2804,847.3728,720.14905,963.5634,738.18536,840.5036,919.40295,941.2473,952.6743
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0529,137.73528,839.0821,254.58842,984.4199,255.67522,829.15765,405.87286,1024.9003,406.5318,839.63855,480.52148,1066.7511,532.441,862.6777,519.55206,962.8142,522.51764,846.44806,726.4276,963.8096,745.22845,842.4718,920.976,940.2157,956.53424
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.0582,136.93396,837.7867,253.08748,982.66754,256.05176,826.7373,403.06668,1022.38605,406.55615,839.0277,481.88306,1066.3857,533.28125,862.66315,519.08673,962.58734,522.7469,845.7386,726.6068,962.85333,745.90283,841.8512,921.5285,940.2825,957.38873
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.19257,138.13307,836.6609,252.8433,981.32355,257.66104,824.04895,401.2046,1020.46,407.08295,837.5966,487.79144,1063.994,534.78796,860.87463,520.2861,961.0459,524.68475,845.5086,728.6952,962.5154,748.74945,841.4099,922.7736,941.4837,959.79333
